iter	Passed	Remaining
640	8351	4677
641	8364	4664
642	8377	4651
643	8391	4638
644	8405	4626
645	8419	4613
646	8431	4599
647	8443	4586
648	8455	4573
649	8468	4560
650	8482	4547
651	8495	4534
652	8507	4520
653	8520	4507
654	8532	4494
655	8543	4480
656	8556	4466
657	8568	4453
658	8581	4440
659	8593	4426
660	8605	4413
661	8617	4399
662	8628	4386
663	8640	4372
664	8655	4360
665	8667	4346
666	8679	4333
667	8692	4320
668	8706	4307
669	8718	4294
670	8731	4281
671	8743	4267
672	8755	4254
673	8767	4240
674	8779	4227
675	8791	4213
676	8804	4200
677	8819	4188
678	8834	4176
679	8848	4163
680	8863	4151
681	8882	4141
682	8898	4129
683	8910	4116
684	8922	4103
685	8935	4090
686	8947	4076
687	8959	4063
688	8971	4049
689	8984	4036
690	8996	4023
691	9014	4012
692	9030	4000
693	9044	3988
694	9060	3976
695	9074	3963
696	9090	3951
697	9102	3938
698	9118	3926
699	9133	3914
700	9147	3901
701	9162	3889
702	9176	3876
703	9190	3864
704	9204	3851
705	9217	3838
706	9230	3825
707	9244	3812
708	9261	3801
709	9277	3789
710	9296	3778
711	9314	3767
712	9341	3760
713	9375	3755
714	9399	3746
715	9438	3743
716	9462	3734
717	9477	3722
718	9493	3710
719	9509	3698
720	9525	3685
721	9537	3672
722	9549	3658
723	9562	3645
724	9575	3631
725	9587	3618
726	9600	3605
727	9612	3591
728	9624	3577
729	9638	3564
730	9651	3551
731	9664	3538
732	9678	3525
733	9691	3512
734	9704	3498
735	9717	3485
736	9730	3472
737	9741	3458
738	9753	3444
739	9766	3431
740	9778	3417
741	9791	3404
742	9804	3391
743	9817	3378
744	9831	3365
745	9845	3352
746	9858	3338
747	9871	3325
748	9883	3312
749	9895	3298
750	9908	3285
751	9920	3271
752	9933	3258
753	9945	3244
754	9956	3231
755	9968	3217
756	9980	3203
757	9992	3190
758	10002	3175
759	10012	3161
760	10022	3147
761	10032	3133
762	10042	3119
763	10052	3105
764	10062	3091
765	10074	3077
766	10083	3063
767	10094	3049
768	10103	3035
769	10113	3021
770	10124	3007
771	10134	2993
772	10144	2978
773	10154	2965
774	10164	2951
775	10176	2937
776	10186	2923
777	10196	2909
778	10206	2895
779	10216	2881
780	10226	2867
781	10236	2853
782	10246	2839
783	10256	2825
784	10266	2811
785	10276	2797
786	10286	2784
787	10296	2770
788	10306	2756
789	10316	2742
790	10325	2728
791	10335	2714
792	10345	2700
793	10355	2686
794	10366	2673
795	10376	2659
796	10386	2645
797	10396	2631
798	10406	2617
799	10416	2604
800	10426	2590
801	10436	2576
802	10450	2563
803	10460	2550
804	10470	2536
805	10481	2522
806	10490	2508
807	10501	2495
808	10510	2481
809	10520	2467
810	10530	2454
811	10540	2440
812	10550	2426
813	10559	2412
814	10569	2399
815	10579	2385
816	10590	2372
817	10600	2358
818	10610	2344
819	10620	2331
820	10630	2317
821	10640	2304
822	10650	2290
823	10661	2277
824	10672	2263
825	10685	2250
826	10695	2237
827	10706	2223
828	10716	2210
829	10726	2197
830	10737	2183
831	10747	2170
832	10757	2156
833	10767	2143
834	10777	2129
835	10789	2116
836	10801	2103
837	10812	2090
838	10824	2077
839	10845	2065
840	10860	2053
841	10876	2040
842	10891	2028
843	10908	2016
844	10921	2003
845	10939	1991
846	10968	1981
847	10993	1970
848	11009	1958
849	11021	1945
850	11033	1931
851	11046	1918
852	11064	1906
853	11080	1894
854	11093	1881
855	11106	1868
856	11119	1855
857	11132	1842
858	11144	1829
859	11157	1816
860	11171	1803
861	11184	1790
862	11199	1777
863	11211	1764
864	11224	1751
865	11236	1738
866	11249	1725
867	11260	1712
868	11272	1699
869	11285	1686
870	11297	1673
871	11309	1660
872	11321	1647
873	11334	1634
874	11346	1620
875	11357	1607
876	11370	1594
877	11383	1581
878	11396	1568
879	11408	1555
880	11423	1542
881	11436	1530
882	11450	1517
883	11463	1504
884	11474	1491
885	11486	1477
886	11499	1464
887	11513	1452
888	11527	1439
889	11540	1426
890	11553	1413
891	11567	1400
892	11587	1388
893	11614	1377
894	11646	1366
895	11671	1354
896	11704	1343
897	11729	1332
898	11754	1320
899	11781	1309
900	11813	1298
901	11849	1287
902	11896	1277
903	11930	1266
904	11958	1255
905	11982	1243
906	12020	1232
907	12062	1222
908	12093	1210
909	12135	1200
910	12156	1187
911	12183	1175
912	12209	1163
913	12235	1151
914	12258	1138
915	12281	1126
916	12317	1114
917	12346	1102
918	12369	1090
919	12395	1077
920	12421	1065
921	12445	1052
922	12469	1040
923	12490	1027
924	12515	1014
925	12538	1002
926	12561	989
927	12583	976
928	12608	963
929	12642	951
930	12664	938
931	12689	925
932	12710	912
933	12740	900
934	12777	888
935	12793	874
936	12807	861
937	12824	847
938	12838	833
939	12852	820
940	12866	806
941	12878	792
942	12891	779
943	12906	765
944	12930	752
945	12946	738
946	12955	725
947	12966	711
948	12976	697
949	12986	683
950	12997	669
951	13007	655
952	13016	641
953	13026	628
954	13037	614
955	13047	600
956	13057	586
957	13068	572
958	13080	559
959	13090	545
960	13100	531
961	13110	517
962	13120	504
963	13130	490
964	13140	476
965	13150	462
966	13160	449
967	13170	435
968	13181	421
969	13191	407
970	13200	394
971	13211	380
972	13220	366
973	13231	353
974	13241	339
975	13251	325
976	13262	312
977	13272	298
978	13281	284
979	13291	271
980	13301	257
981	13311	244
982	13322	230
983	13332	216
984	13342	203
985	13352	189
986	13362	175
987	13373	162
988	13382	148
989	13393	135
990	13403	121
991	13413	108
992	13425	94
993	13438	81
994	13448	67
995	13458	54
996	13468	40
997	13478	27
998	13488	13
999	13498	0
